HALTER_ID,ALTER,GESCHLECHT,STADTKREIS,STADTQUARTIER,RASSE1,RASSE1_MISCHLING,RASSE2,RASSE2_MISCHLING,RASSENTYP,GEBURTSJAHR_HUND,GESCHLECHT_HUND,HUNDEFARBE
85812,61-70,m,10,101,Toypudel,,Bolonka Zwetna,,K,2018,m,schwarz
94020,31-40,w,10,101,Mischling klein,,,,K,2006,w,braun
139628,41-50,w,10,101,English Cocker Spaniel,,,,K,2017,w,tricolor
155134,31-40,m,10,101,Mischling klein,,,,K,2017,m,beige
153619,41-50,w,10,101,Jack Russel Terrier,,,,K,2020,w,tricolor
127031,41-50,m,10,101,Deutscher Schäfer,,,,I,2009,m,schwarz/braun
88865,61-70,w,10,101,Appenzeller Sennenhund,,Border Collie,,I,2013,w,tricolor
132866,31-40,w,10,101,Magyar Viszla,,,,I,2013,m,golden
105791,71-80,m,10,101,Mischling klein,,,,K,2019,m,schwarz
88471,71-80,w,10,101,Yorkshire Terrier,,,,K,2018,m,black/tan
140329,41-50,w,10,101,Mischling klein,,,,K,2015,w,schwarz/weiss
153073,41-50,w,10,101,Weisser Schäferhund (Berger Blanc Suisse),,,,I,2020,w,weiss
145039,21-30,w,10,101,Chihuahua,,,,K,2014,m,schwarz/braun
137334,51-60,w,10,101,Irish Terrier,,,,I,2017,m,rot/braun
150225,41-50,w,10,101,Mischling gross,,,,I,2006,m,weiss/rot
145734,61-70,w,10,101,Yorkshire Terrier,,,,K,2018,m,silber
128445,51-60,w,10,101,Grosspudel,,,,I,2015,m,silber
117453,41-50,w,10,101,Mischling gross,,,,I,2013,w,tricolor
143392,51-60,w,10,101,Vizsla,,,,I,2015,m,rotbraun
99705,31-40,m,10,101,Miniature Bull Terrier,,,,K,2018,w,braun
153932,31-40,m,10,101,Mischling gross,,,,I,2019,w,beige
85735,71-80,w,10,101,Mischling klein,,,,K,2015,w,braun/schwarz
149520,31-40,w,10,101,Yorkshire Terrier,,,,K,2019,m,grau/schwarz
137494,21-30,w,10,101,Mischling gross,,,,I,2017,w,braun/schwarz
86167,41-50,w,10,101,Mischling klein,,,,K,2017,w,schwarz lohfarbig
99708,61-70,w,10,101,Mischling klein,,,,K,2008,w,braun/schwarz
145212,31-40,m,10,101,Jack Russel Terrier,,,,K,2018,w,schwarz/weiss
86785,71-80,w,10,101,Labrador Retriever,,,,I,2007,w,schwarz
146552,21-30,w,10,101,Mischling gross,,,,I,2016,w,choco
99705,31-40,m,10,101,Chihuahua,,Pinscher,,K,2017,w,schwarz/braun
152628,31-40,w,10,101,Golden Retriever,Mischling,,,I,2020,m,weiss
129682,61-70,w,10,101,Beagle,,,,K,2016,w,braun/schwarz/weiss
147339,31-40,w,10,101,Malteser,,,,K,2019,w,weiss
144258,61-70,w,10,101,Havaneser,Mischling,,,K,2018,w,schwarz/braun/beige
101049,61-70,w,10,101,Pudel,,,,K,2009,w,schwarz/weiss
89739,61-70,m,10,101,Kromfohrländer,,,,I,2007,m,weiss/braun
142568,41-50,w,10,101,Parson Russell Terrier,,,,K,2018,w,weiss/braun
82240,71-80,w,10,101,Dachshund,,,,K,2007,m,saufarben
151966,41-50,w,10,101,Yorkshire Terrier,,,,K,2013,m,braun/schwarz
138277,41-50,w,10,101,Kooikerhondje,,,,K,2017,w,rot/braun/weiss
135378,81-90,w,10,101,Chihuahua,,Cavalier King Charles Spaniel,,K,2016,m,beige/weiss
92024,51-60,m,10,101,Briard,Mischling,,,I,2007,w,schwarz/weiss
124757,41-50,w,10,101,Mops,,,,K,2010,w,beige
137126,41-50,m,10,101,Dachshund,,,,K,2015,m,braun
150532,31-40,m,10,101,Podenco Ibicenco,Mischling,,,I,2019,m,braun/weiss
99705,31-40,m,10,101,Chihuahua,,,,K,2008,m,beige
137626,51-60,w,10,101,Labrador Retriever,,,,I,2017,m,braun
86111,61-70,w,10,101,Labrador Retriever,,,,I,2018,w,schwarz
148632,31-40,w,10,101,Toy Pudel,,,,K,2015,w,rot
118660,71-80,w,10,101,Tibetan Spaniel,,,,K,2009,m,schwarz/braun
84906,71-80,w,10,101,Dachshund,,,,K,2009,w,rot
153432,71-80,m,10,101,Labrador,,Golden Retriever,,I,2008,m,beige
153317,61-70,m,10,101,Mischling gross,,,,I,2019,m,braun
85443,61-70,m,10,101,English Pointer,Mischling,,,I,2016,w,weiss/schwarz/braun
81650,71-80,m,10,101,Deutsche Dogge,,,,I,2013,m,schwarz/weiss
95305,71-80,m,10,101,Alpenländische Dachsbracke,,,,K,2008,w,schwarz/beige
99727,51-60,w,10,101,Bolonka Zwetna,,,,K,2009,m,schwarz/weiss
88096,81-90,m,10,101,Labrador Retriever,,,,I,2014,m,schwarz
99784,61-70,w,10,101,Tibet Terrier,Mischling,,,K,2009,m,weiss/beige
134311,31-40,w,10,101,Französische Bulldogge,,,,K,2014,w,weiss
119438,61-70,w,10,101,Deutscher Pinscher,,,,I,2013,w,hirschrot
142519,31-40,m,10,101,Schäfer,Mischling,,,I,2016,w,braun/schwarz
153305,51-60,m,10,101,Magyar Viszla,,,,I,2020,m,braun
89631,41-50,w,10,101,Galgo Espanol,,,,I,2011,m,schwarz/weiss
152055,21-30,w,10,101,Kleiner Münsterländer,,,,I,2019,m,braun/weiss
88209,51-60,m,10,101,Labrador Retriever,Mischling,,,I,2012,m,schwarz
108042,61-70,w,10,101,Welsh Corgi Pembroke,,,,K,2011,m,rot/weiss
127197,31-40,w,10,101,Mops,,,,K,2010,w,schwarz
88084,41-50,w,10,101,Nova Scotia Duck Tolling Retriever,,,,I,2019,w,rot/weiss
149527,31-40,w,10,101,Yorkshire Terrier,,,,K,2019,m,golden
151698,41-50,w,10,101,Golden Retriever,,,,I,2019,m,golden
131020,51-60,m,10,101,Jack Russel Terrier,,Mops,,K,2016,m,beige
104470,21-30,w,10,101,Jack Russel Terrier,,,,K,2015,m,braun/schwarz
148982,31-40,m,10,101,Yorkshire Terrier,,,,K,2011,m,black/tan
103014,31-40,w,10,101,Niederlaufhund,Mischling,,,I,2004,w,dunkelbraun
153584,61-70,w,10,101,Havaneser,,,,K,2019,w,rot/schwarz
153916,21-30,m,10,101,Labrador Retriever,,,,I,2020,m,gelb
144994,41-50,w,10,101,Pudel,,Labrador Retriever,,I,2018,m,rot/braun
141326,51-60,w,10,101,Border Collie,,Labrador Retriever,,I,2001,w,weiss
103203,71-80,m,10,101,Jack Russel Terrier,,,,K,2009,m,tricolor
127309,41-50,w,10,101,Zwergpinscher,,,,K,2018,m,schwarz/rot
143175,31-40,w,10,101,Mops,,,,K,2009,m,beige
128238,51-60,w,10,101,Bergamasker,,Hovawart,,I,2015,w,schwarz/braun
147161,61-70,w,10,101,Zwergspitz,,,,K,2012,w,beige
113526,61-70,w,10,101,Mischling gross,,,,I,2012,w,schwarz
153913,51-60,w,10,101,Irish Setter,,,,I,2020,m,rot
103617,51-60,w,10,101,Dachshund,Mischling,,,K,2013,w,schwarz
140721,41-50,m,10,101,Havaneser,,,,K,2017,w,schwarz/weiss
